UniqueCarrier,FlightNum,Origin,Dest,Distance,DayOfWeek,DayofMonth,Month,Year,CRSElapsedTime,ActualElapsedTime,ArrDelay,DepDelay,TaxiIn,TaxiOut,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
MQ,3677,DFW,DSM,624,4,4,8,2005,110,124,34,20,3,38,20,0,14,0,0
OO,6270,DEN,CPR,230,1,21,6,2004,65,66,21,20,3,10,0,0,0,0,21
YV,2676,BNA,CLT,329,5,15,12,2006,71,66,81,86,6,17,81,0,0,0,0
AA,1550,SJU,MIA,1045,3,5,7,2006,154,153,104,105,3,15,104,0,0,0,0
WN,11,DAL,HOU,239,5,22,2,2008,60,68,48,40,3,9,5,0,8,0,35
HP,741,LAS,CMH,1772,6,2,4,2005,226,254,32,4,5,53,0,0,32,0,0
AS,640,SEA,LAS,866,1,30,4,2007,147,165,15,-3,12,25,0,0,15,0,0
WN,1196,TPA,BWI,842,3,18,8,2004,135,129,16,22,2,9,0,0,0,0,16
UA,249,OAK,LAX,337,4,30,12,2004,75,79,44,40,17,11,26,0,4,0,14
NW,755,DTW,MSP,528,3,10,12,2003,118,124,43,37,7,29,13,0,6,0,24
FL,25,MDW,ATL,590,5,21,10,2005,110,116,28,22,5,19,0,0,28,0,0
MQ,3662,SGF,DFW,364,4,26,10,2006,80,76,37,41,5,9,0,0,0,0,37
US,1052,BOS,CLT,728,4,25,12,2003,140,130,17,27,3,14,17,0,0,0,0
NW,651,DTW,BNA,457,7,25,2,2007,98,98,19,19,7,14,19,0,0,0,0
OO,6043,ORD,CRW,416,3,4,6,2008,88,111,112,89,3,43,0,0,23,0,89
UA,1495,ORD,PHX,1440,1,18,4,2005,225,228,28,25,7,21,25,0,3,0,0
AA,1109,HPN,ORD,738,3,11,8,2004,136,142,195,189,10,18,0,189,6,0,0
AA,792,STT,SJU,68,6,16,8,2003,40,25,47,62,2,8,0,0,0,0,47
XE,3240,IAH,STL,668,5,15,7,2005,135,129,22,28,3,27,0,6,0,0,16
NW,572,MSP,MIA,1501,6,2,8,2003,213,250,35,-2,7,44,0,0,35,0,0
UA,547,BOS,ORD,867,5,9,3,2007,175,168,68,75,5,22,0,0,68,0,0
NW,1825,MHT,DTW,609,5,6,10,2006,118,127,18,9,16,14,0,0,9,0,9
US,1271,PIT,MDT,185,4,29,7,2004,53,47,135,141,4,9,0,0,0,0,135
XE,2654,RIC,EWR,278,5,4,1,2008,75,98,21,-2,6,26,0,0,21,0,0
US,455,PHX,SLC,507,5,10,2,2006,95,94,43,44,4,14,43,0,0,0,0
XE,2386,GRK,IAH,166,7,30,3,2008,64,67,24,21,14,14,21,0,3,0,0
9E,4794,IND,PHL,587,1,19,11,2007,120,116,16,20,15,17,0,0,16,0,0
WN,1068,MCI,BNA,491,2,24,4,2007,85,92,22,15,5,17,2,0,7,0,13
OO,5935,BTV,ORD,763,4,18,1,2007,145,155,17,7,7,9,17,0,0,0,0
NW,1712,MSP,DCA,931,1,4,7,2005,139,157,57,39,3,31,39,0,18,0,0
AS,59,SEA,JNU,909,4,25,8,2005,149,136,26,39,4,11,26,0,0,0,0
EV,4444,DHN,ATL,171,5,12,11,2004,61,82,21,0,12,23,0,0,21,0,0
UA,566,SLC,ORD,1249,7,31,12,2006,189,167,153,175,5,10,0,0,95,0,58
WN,1303,OAK,SAN,446,5,4,11,2005,85,77,72,80,2,13,4,0,0,0,68
EV,4527,ATL,TUL,674,3,24,9,2008,118,105,33,46,2,12,33,0,0,0,0
WN,341,ABQ,PHX,328,1,15,1,2007,75,75,16,16,4,11,2,0,0,0,14
B6,900,ORD,JFK,740,1,25,6,2007,220,202,42,60,14,28,42,0,0,0,0
MQ,4377,PIA,ORD,130,5,8,12,2006,50,58,23,15,12,9,0,0,8,0,15
CO,1011,MHT,EWR,209,3,23,2,2005,78,108,42,12,9,45,12,0,30,0,0
CO,1540,AUS,IAH,140,1,10,4,2006,60,83,27,4,7,40,0,0,27,0,0
XE,2646,AMA,IAH,519,4,6,11,2003,95,110,25,10,4,22,10,0,15,0,0
OH,5573,BOS,SDF,829,3,2,4,2008,168,180,22,10,11,23,10,0,12,0,0
DL,1248,SAV,ATL,215,1,26,6,2006,58,62,84,80,11,8,80,0,4,0,0
DL,1281,BWI,ATL,576,1,22,10,2007,113,123,45,35,14,12,0,0,45,0,0
OO,3717,SLC,COD,298,4,27,12,2007,87,87,54,54,5,17,54,0,0,0,0
DL,1157,HSV,ATL,151,6,17,1,2004,58,74,22,6,7,30,6,0,16,0,0
AA,888,MCI,ORD,403,7,3,8,2003,78,107,128,99,15,29,0,0,128,0,0
AA,864,DFW,BHM,597,6,16,7,2005,105,97,88,96,3,16,0,17,0,0,71
B6,169,JFK,SJC,2569,2,30,5,2006,365,395,25,-5,5,41,0,0,25,0,0
US,1774,CLT,IAD,321,5,2,3,2007,74,58,59,75,3,9,2,0,0,0,57
AS,88,ANC,SEA,1449,4,11,10,2007,200,233,41,8,12,24,0,0,33,0,8
DL,1111,ORD,ATL,606,4,8,6,2006,118,110,16,24,8,19,2,0,0,0,14
AA,607,ORD,ABQ,1118,3,11,2,2004,183,187,58,54,4,17,0,0,4,0,54
US,156,DEN,PHL,1557,3,16,6,2004,215,304,105,16,28,12,0,0,89,0,16
WN,746,BWI,MHT,377,4,22,3,2007,80,74,17,23,5,7,7,0,0,0,10
NW,1503,DTW,GRR,120,5,15,6,2007,50,51,42,41,5,18,41,0,1,0,0
XE,2931,IAH,OKC,395,2,29,6,2004,78,100,23,1,5,35,0,0,23,0,0
DL,1587,ATL,CLT,227,3,1,6,2005,71,118,47,0,9,21,0,0,47,0,0
OO,6216,MRY,SFO,77,7,26,2,2006,35,44,69,60,4,6,69,0,0,0,0
WN,1022,IND,MDW,162,7,15,7,2007,50,48,35,37,4,7,35,0,0,0,0
EV,4084,ATL,EVV,350,3,12,7,2006,83,77,35,41,4,16,35,0,0,0,0
B6,72,JFK,SYR,209,5,5,8,2005,70,160,89,-1,5,113,0,0,89,0,0
CO,527,BWI,IAH,1235,4,26,10,2006,193,212,19,0,6,14,0,0,19,0,0
NW,562,DEN,MSP,680,2,14,8,2007,118,108,67,77,9,13,0,29,0,0,38
FL,158,MDW,BOS,861,4,12,4,2007,136,136,91,91,19,6,0,0,91,0,0
WN,2717,MCI,OAK,1489,6,16,7,2005,215,211,161,165,3,17,0,0,0,0,161
CO,723,IAH,MSY,305,4,15,3,2007,72,72,68,68,5,24,31,0,0,0,37
US,51,LAS,JFK,2248,1,25,12,2006,295,318,24,1,20,24,0,0,24,0,0
WN,2631,MDW,ISP,765,1,14,6,2004,125,180,95,40,5,47,0,0,55,0,40
UA,1168,DEN,CMH,1155,6,31,7,2004,162,157,15,20,4,13,15,0,0,0,0
B6,915,JFK,ORD,740,5,27,6,2008,157,165,60,52,5,42,0,0,60,0,0
OO,2879,EWR,MKE,725,2,20,5,2008,155,143,70,82,4,34,0,0,70,0,0
OO,6397,ONT,SFO,363,4,7,8,2008,77,117,112,72,4,11,0,0,40,0,72
WN,105,LAS,RNO,345,7,14,10,2007,75,70,72,77,4,12,14,0,0,0,58
AA,413,PHL,ORD,678,4,17,3,2005,147,144,28,31,9,18,0,0,0,0,28
UA,823,BOS,IAD,413,1,30,6,2008,103,110,40,33,10,23,0,0,11,0,29
EV,4307,ATL,TRI,227,2,29,7,2008,73,81,55,47,7,13,47,0,8,0,0
YV,2990,ELP,LAS,584,4,30,11,2006,106,108,27,25,9,12,0,0,0,0,27
AA,510,DFW,RDU,1062,2,8,8,2006,163,173,38,28,7,25,28,0,10,0,0
FL,420,IND,TPA,838,4,14,8,2008,127,146,20,1,4,21,1,0,19,0,0
AA,1461,DFW,SFO,1464,5,26,10,2007,225,240,45,30,5,41,0,0,45,0,0
NW,1750,MCI,DTW,629,7,18,1,2004,111,96,47,62,9,7,47,0,0,0,0
OO,6285,MTJ,DEN,197,1,20,2,2006,63,59,36,40,4,13,0,0,0,0,36
AA,1657,ATL,DFW,732,2,27,5,2008,140,152,16,4,12,27,0,0,16,0,0
WN,364,TPA,HOU,781,6,13,1,2007,150,129,37,58,6,7,37,0,0,0,0
FL,851,ATL,MSP,906,1,1,12,2008,153,141,41,53,4,13,0,0,0,0,41
AA,1130,SJU,PHL,1576,6,24,1,2004,243,255,52,40,3,11,40,0,12,0,0
XE,3048,IAH,CLT,913,5,2,5,2008,152,161,96,87,8,19,0,0,9,0,87
MQ,3171,SJC,SNA,342,5,2,7,2004,79,74,53,58,4,13,0,0,0,0,53
AA,533,DFW,SAN,1171,3,26,12,2007,185,198,21,8,3,17,0,8,13,0,0
AA,2920,DFW,STL,551,6,5,6,2004,108,90,17,35,8,9,0,0,0,0,17
AS,350,SEA,SMF,605,1,31,10,2005,103,98,35,40,3,10,35,0,0,0,0
UA,1555,IAD,MCO,758,1,17,10,2005,129,146,17,0,4,33,0,0,17,0,0
UA,950,ORD,IAD,589,6,26,4,2008,116,232,121,5,9,149,0,0,121,0,0
DL,1163,TLH,ATL,223,4,7,8,2003,64,116,50,-2,10,58,0,0,50,0,0
AS,152,OME,OTZ,183,5,18,5,2007,39,38,23,24,2,4,0,0,0,0,23
XE,2752,MHT,EWR,209,4,1,2,2007,85,85,89,89,7,24,89,0,0,0,0
US,464,CLT,SYR,603,4,28,7,2005,112,115,20,17,4,29,14,0,3,0,3
MQ,3919,ORD,ICT,588,2,20,5,2008,110,135,27,2,6,37,0,0,27,0,0
UA,794,ORD,MHT,843,7,9,1,2005,128,128,19,19,4,28,0,0,2,0,17
AS,680,PDX,LAS,762,6,19,3,2005,128,121,350,357,4,11,350,0,0,0,0
WN,735,DEN,PHX,602,4,12,4,2007,115,125,110,100,8,9,0,0,110,0,0
9E,5875,DTW,LEX,296,3,7,3,2007,76,76,24,24,8,17,0,0,0,0,24
OO,5726,SFO,RDM,462,5,4,1,2008,118,138,334,314,5,52,0,334,0,0,0
DL,863,IAH,ATL,689,1,12,7,2004,121,131,65,55,6,29,0,0,36,0,29
AA,565,ATL,DFW,732,5,9,5,2008,140,150,26,16,13,20,9,0,10,0,7
AA,1269,SJU,DFW,2165,6,4,3,2006,319,312,18,25,15,10,10,0,0,0,8
CO,348,EWR,SFO,2565,1,20,3,2006,382,436,107,53,8,69,5,0,54,0,48
XE,3025,BNA,IAH,657,1,15,8,2005,128,156,211,183,6,31,0,0,211,0,0
UA,189,RIC,ORD,642,4,28,7,2005,123,109,29,43,4,11,29,0,0,0,0
US,975,CLT,DCA,331,3,28,5,2008,84,92,31,23,4,35,23,0,8,0,0
DL,939,ATL,SDF,321,1,16,1,2006,79,84,108,103,6,24,103,0,5,0,0
OH,5536,CLT,LGA,544,1,17,4,2006,121,110,21,32,10,15,0,21,0,0,0
OO,3743,SLC,ACV,635,5,17,10,2008,115,135,18,-2,6,29,0,0,18,0,0
NW,618,MSP,MBS,463,1,19,9,2005,88,93,17,12,5,25,8,0,5,0,4
XE,2334,EWR,SDF,642,4,24,7,2003,124,140,16,0,6,19,0,0,16,0,0
WN,776,SAN,PHX,304,2,22,2,2005,70,65,50,55,5,12,6,0,0,0,44
CO,1445,CLE,IAH,1091,4,16,3,2006,177,166,26,37,6,13,6,0,0,0,20
AA,2495,ORD,MCI,403,5,25,1,2008,85,91,18,12,3,19,12,0,6,0,0
WN,1603,BWI,JAN,888,3,18,10,2006,150,167,15,-2,31,6,0,0,15,0,0
HP,721,LAS,ORD,1515,7,24,10,2004,203,208,26,21,6,37,21,0,5,0,0
OO,6864,TVC,ORD,224,3,7,4,2004,64,106,42,0,8,50,0,42,0,0,0
WN,27,HOU,HRL,276,1,12,2,2007,60,51,28,37,1,5,1,0,0,0,27
AS,9,MCO,SEA,2553,3,19,4,2006,370,376,22,16,13,17,16,0,6,0,0
EV,4606,CVG,ROA,282,5,9,12,2005,68,57,18,29,4,14,0,0,0,0,18
UA,1092,ORD,IND,177,3,10,12,2003,58,74,82,66,11,28,0,0,18,0,64
UA,1446,DEN,MDW,895,4,16,3,2006,132,129,111,114,4,19,0,0,0,0,111
EV,4405,SYR,ATL,793,1,15,1,2007,161,180,19,0,7,42,0,0,19,0,0
CO,1146,EWR,MDW,711,5,16,12,2005,158,154,80,84,7,24,0,9,0,0,71
MQ,3934,DCA,ORD,612,5,4,7,2008,120,111,26,35,8,11,22,0,0,0,4
AA,474,ORD,EWR,719,6,22,5,2004,133,148,75,60,4,51,0,0,15,0,60
UA,628,ORD,DCA,612,5,27,7,2007,104,111,79,72,4,14,19,0,7,0,53
XE,3005,PIT,EWR,319,7,10,12,2006,98,144,94,48,13,60,0,0,58,0,36
MQ,3280,ACT,DFW,89,1,18,6,2007,55,56,87,86,12,12,0,0,1,0,86
NW,1608,EWR,MSP,1008,6,17,2,2007,183,180,134,137,6,34,134,0,0,0,0
AA,2037,SAT,DFW,247,1,16,7,2007,65,86,17,-4,38,6,0,0,17,0,0
WN,2367,BWI,PVD,328,2,12,8,2008,70,64,36,42,3,8,36,0,0,0,0
FL,456,BWI,BOS,370,4,3,8,2006,83,99,86,70,12,14,0,0,16,0,70
WN,2772,MCO,MHT,1142,6,31,5,2008,180,183,86,83,3,9,83,0,3,0,0
B6,88,ONT,JFK,2430,3,28,12,2005,295,306,35,24,8,12,0,0,11,0,24
AA,1762,ORD,MIA,1197,3,24,11,2004,180,210,98,68,7,15,68,0,30,0,0
B6,148,JFK,BTV,267,4,29,6,2006,75,78,37,34,3,31,11,0,3,0,23
WN,2606,CMH,MDW,284,2,4,1,2005,65,70,30,25,3,10,0,0,5,0,25
DL,527,LGA,ATL,761,4,3,4,2008,161,182,43,22,12,42,0,0,21,0,22
OO,3605,CPR,SLC,320,2,2,12,2003,95,86,165,174,5,5,0,0,165,0,0
OH,5092,CVG,IAD,388,5,13,6,2008,94,134,51,11,5,65,0,0,51,0,0
WN,1037,MSY,BHM,321,4,3,7,2003,60,58,30,32,1,7,30,0,0,0,0
WN,2033,MSY,HOU,303,1,26,4,2004,65,62,17,20,2,10,5,0,0,0,12
WN,2733,TPA,PBI,174,2,1,5,2007,45,43,66,68,4,8,2,0,0,0,64
B6,1256,IAD,BOS,413,4,13,3,2008,100,102,20,18,6,33,5,0,2,0,13
US,1278,DCA,PVD,357,4,14,12,2006,73,70,20,23,3,11,0,0,0,0,20
UA,467,DEN,ABQ,349,5,20,1,2006,70,64,50,56,5,7,50,0,0,0,0
FL,375,LGA,ATL,761,5,31,3,2006,154,167,78,65,10,36,65,0,13,0,0
MQ,3161,SNA,SJC,342,4,20,10,2005,71,64,25,32,1,6,0,0,0,0,25
UA,84,HNL,LAX,2556,2,1,8,2006,319,309,164,174,6,13,164,0,0,0,0
OH,5244,JFK,PIT,340,1,27,11,2006,125,125,20,20,6,50,20,0,0,0,0
XE,2216,RDU,EWR,416,1,28,8,2006,92,89,32,35,7,11,32,0,0,0,0
OO,3832,SLC,FCA,532,2,14,6,2005,100,91,87,96,5,13,0,0,0,0,87
DL,1871,JFK,SAN,2446,4,3,8,2006,380,446,66,0,5,144,0,0,66,0,0
EV,4767,PHF,ATL,508,4,23,8,2007,113,103,33,43,22,0,33,0,0,0,0
NW,1777,DTW,FNT,56,5,19,8,2005,37,38,33,32,3,19,21,0,1,0,11
B6,483,BOS,LAS,2381,5,12,9,2008,359,354,16,21,10,18,0,0,0,0,16
DL,1171,ATL,BUR,1941,7,20,2,2005,285,309,21,-3,4,19,0,0,21,0,0
AA,610,SJU,JFK,1597,4,16,11,2006,240,253,63,50,20,11,50,0,13,0,0
WN,3322,TUL,PHX,935,7,2,12,2007,160,160,20,20,6,8,0,0,0,0,20
AA,178,SFO,JFK,2586,5,10,6,2005,331,417,84,-2,20,71,0,0,84,0,0
DL,1103,ATL,SNA,1919,3,6,9,2006,275,277,22,20,6,23,20,0,2,0,0
WN,1718,OAK,SAN,446,1,29,12,2003,80,83,33,30,3,10,30,0,3,0,0
DL,1628,DTW,ATL,594,4,10,3,2005,127,139,17,5,6,43,0,0,17,0,0
DL,1153,PHX,ATL,1587,5,15,12,2006,215,217,93,91,4,19,0,0,2,0,91
NW,188,SAN,MSP,1532,2,30,11,2004,213,208,16,21,4,15,1,0,0,0,15
OH,5831,JFK,MIA,1090,3,18,1,2006,190,226,36,0,3,42,0,0,36,0,0
MQ,3138,LAX,SBP,155,2,28,6,2005,45,39,55,61,2,10,0,0,0,0,55
TZ,955,MDW,DFW,797,5,8,10,2004,148,148,16,16,9,16,16,0,0,0,0
US,98,SJU,PHL,1576,6,21,2,2004,242,264,83,61,3,40,0,0,22,0,61
MQ,4130,EVV,ORD,273,7,2,4,2006,86,71,55,70,13,4,0,0,8,0,47
UA,1504,SFO,LAS,414,3,8,8,2007,93,114,20,-1,9,34,0,0,20,0,0
UA,309,SFO,SAN,447,3,1,9,2004,88,112,18,-6,2,40,0,0,18,0,0
AA,1376,ORD,HPN,738,1,27,12,2004,122,124,31,29,15,18,29,0,2,0,0
OO,5864,ORD,GRR,137,6,12,7,2008,52,54,54,52,3,18,0,52,2,0,0
NW,435,TPA,MSP,1307,6,4,12,2004,195,198,17,14,5,14,4,0,3,0,10
XE,2607,CLE,LGA,418,4,5,4,2007,100,113,84,71,7,37,0,0,84,0,0
WN,1200,BDL,BWI,283,2,26,2,2008,70,74,85,81,3,7,0,0,4,0,81
EV,4537,ATL,GPT,352,1,16,2,2004,90,110,35,15,5,17,0,15,20,0,0
DL,425,SDF,ATL,321,4,20,4,2006,87,89,29,27,12,16,27,0,2,0,0
NW,980,SEA,MEM,1870,4,31,1,2008,249,266,22,5,12,26,0,0,22,0,0
YV,7325,IAD,ROC,289,2,16,12,2008,75,75,79,79,10,21,79,0,0,0,0
AA,1103,ORD,DEN,888,3,7,5,2008,150,217,67,0,8,65,0,0,67,0,0
UA,468,ORD,TPA,1012,5,19,12,2003,159,127,26,58,3,14,5,0,0,0,21
AA,327,DFW,SFO,1464,4,18,11,2004,230,221,29,38,5,16,29,0,0,0,0
US,685,PHX,EWR,2133,7,5,10,2008,284,319,27,-8,11,31,0,0,27,0,0
HP,95,PHX,PIT,1813,5,10,10,2003,236,267,38,7,12,37,7,0,31,0,0
B6,78,MCO,JFK,944,4,29,6,2006,155,159,50,46,17,10,8,0,4,0,38
UA,480,DEN,TUL,541,6,17,12,2005,89,91,75,73,3,16,63,0,2,0,10
UA,425,DEN,ABQ,349,3,29,6,2005,70,63,24,31,3,10,24,0,0,0,0
OH,5857,BNA,CVG,230,2,21,3,2006,74,75,58,57,3,17,57,0,1,0,0
AA,162,HNL,LAX,2556,1,2,1,2006,322,336,15,1,31,21,0,0,15,0,0
XE,2966,SLC,IAH,1195,7,19,9,2004,205,188,15,32,6,23,0,0,15,0,0
WN,3678,BNA,HOU,670,2,10,6,2008,115,136,56,35,5,7,22,0,21,0,13
MQ,4923,LGA,MEM,963,1,11,8,2008,180,160,156,176,3,25,9,0,0,0,147
NW,1538,MCI,MSP,393,2,9,8,2005,81,111,21,-9,8,17,0,0,21,0,0
MQ,3885,DFW,CVG,812,7,6,7,2003,138,149,51,40,6,25,0,40,11,0,0
NW,597,MSP,PDX,1426,3,2,7,2003,219,230,17,6,3,26,6,0,11,0,0
FL,376,ATL,LGA,761,4,5,2,2004,134,130,46,50,11,23,0,0,0,0,46
UA,535,BOS,ORD,867,2,15,1,2008,167,148,47,66,3,17,0,0,0,0,47
NW,105,MSP,PHX,1276,7,17,10,2004,193,224,28,-3,6,22,0,0,28,0,0
NW,1553,MSP,RAP,490,3,17,10,2007,99,106,32,25,5,27,25,0,7,0,0
UA,358,ORD,ROC,528,5,29,8,2003,99,121,21,-1,6,37,0,0,21,0,0
DL,1075,CVG,LAX,1900,7,26,6,2005,272,285,17,4,8,20,0,0,17,0,0
DL,1600,ATL,DCA,547,1,4,7,2005,104,92,21,33,6,10,21,0,0,0,0
US,712,CLT,PNS,488,2,12,7,2005,98,91,50,57,5,15,0,0,0,0,50
UA,428,DFW,ORD,802,2,15,4,2008,145,155,45,35,4,35,0,0,45,0,0
WN,963,SDF,PHX,1506,6,26,1,2008,245,266,18,-3,4,9,0,0,18,0,0
EV,4522,GTR,ATL,241,3,16,6,2004,77,69,214,222,10,14,214,0,0,0,0
NW,989,DTW,MIA,1145,5,28,10,2005,172,192,889,869,6,36,0,0,889,0,0
NW,1164,MEM,BHM,211,4,14,7,2005,52,54,53,51,6,10,0,0,2,0,51
NW,197,MSP,SJC,1576,1,3,4,2006,244,264,19,-1,5,17,0,0,19,0,0
WN,2351,SLC,ABQ,493,2,2,1,2007,85,83,28,30,3,10,7,0,0,0,21
UA,907,ORD,SJC,1829,1,2,2,2004,274,277,33,30,5,19,30,0,3,0,0
AA,1257,DFW,PSP,1126,1,18,6,2007,170,162,29,37,4,12,6,0,0,0,23
CO,45,EWR,MIA,1086,5,6,7,2007,200,176,20,44,5,28,20,0,0,0,0
DL,563,ATL,SLC,1589,4,22,6,2006,235,260,36,11,5,43,11,0,25,0,0
FL,117,ATL,DFW,732,6,4,11,2006,133,147,24,10,6,22,0,0,14,0,10
WN,3100,MDW,MCI,405,2,1,1,2008,85,88,21,18,5,19,18,0,3,0,0
US,488,PHX,DEN,602,5,28,7,2006,107,116,15,6,13,15,6,0,9,0,0
CO,1112,DCA,EWR,199,2,11,10,2005,80,81,63,62,11,30,0,0,63,0,0
DL,1708,ATL,IAD,533,5,17,9,2004,99,128,27,-2,13,32,0,0,27,0,0
NW,1577,DTW,AZO,113,5,1,9,2006,44,71,24,-3,5,38,0,0,24,0,0
XE,2774,EWR,BHM,850,2,16,9,2003,155,152,74,77,3,34,0,0,0,0,74
WN,2769,BNA,SAT,822,5,23,1,2004,145,141,63,67,2,9,0,0,0,0,63
YV,7353,FSD,ORD,462,2,29,8,2006,88,106,25,7,13,18,0,0,0,0,25
B6,526,MCO,EWR,938,4,10,1,2008,167,146,26,47,5,14,26,0,0,0,0
AS,62,KTN,SEA,680,4,4,9,2003,111,121,22,12,5,18,0,0,10,0,12
US,783,PHL,JAX,742,2,16,8,2005,130,147,16,-1,5,40,0,0,16,0,0
UA,180,SMF,IAD,2358,2,29,3,2005,285,302,37,20,4,27,20,0,17,0,0
WN,1423,MDW,OMA,423,4,20,12,2007,85,96,19,8,12,16,8,0,11,0,0
9E,5933,PHL,MEM,874,4,21,2,2008,170,185,19,4,12,26,0,0,19,0,0
WN,2097,HOU,TUL,453,6,29,11,2008,85,71,31,45,4,5,31,0,0,0,0
FL,298,HOU,ATL,696,1,29,3,2004,118,111,40,47,6,18,0,0,0,0,40
XE,2555,IAH,DAL,217,4,21,9,2006,64,59,45,50,2,18,0,0,0,0,45
AA,2002,DFW,PBI,1103,1,1,1,2007,155,168,61,48,5,22,35,0,13,0,13
AA,2427,DFW,LAX,1235,2,9,5,2006,199,218,23,4,16,33,0,0,23,0,0
US,24,PHX,LAX,370,4,12,4,2007,87,85,36,38,9,15,9,0,0,0,27
WN,1406,SAN,LAS,258,4,27,5,2004,65,74,40,31,3,19,7,0,9,0,24
WN,935,PHX,LAX,370,3,19,5,2004,75,85,105,95,5,20,0,0,10,0,95
AA,299,MIA,LAX,2342,6,2,2,2008,340,338,60,62,4,22,26,0,0,0,34
WN,49,LIT,DAL,296,4,10,5,2007,65,80,22,7,3,8,0,0,15,0,7
TZ,4220,MDW,LGA,725,2,9,5,2006,122,170,48,0,15,49,0,0,48,0,0
DH,1441,IAD,CLT,321,5,20,5,2005,79,91,26,14,3,36,1,0,12,0,13
CO,1687,MCO,IAH,853,7,22,1,2006,151,228,72,-5,5,80,0,0,72,0,0
DL,1928,DFW,ATL,732,7,21,12,2008,126,144,18,0,40,11,0,0,18,0,0
UA,699,ORD,SJC,1829,5,11,3,2005,278,254,48,72,5,12,24,0,0,0,24
B6,1257,BOS,IAD,413,1,5,3,2007,100,103,95,92,4,23,0,0,3,0,92
OO,5831,MSO,DEN,679,6,14,7,2007,113,131,16,-2,7,14,16,0,0,0,0
AA,2474,SJU,BOS,1674,7,9,4,2006,238,230,19,27,7,8,19,0,0,0,0
OO,6221,SFO,MFR,329,7,16,4,2006,89,83,85,91,4,12,85,0,0,0,0
WN,2705,LAS,SJC,386,5,1,9,2006,85,98,78,65,3,37,9,0,13,0,56
AA,22,LAX,JFK,2475,2,18,1,2005,304,352,51,3,48,12,0,0,51,0,0
YV,2859,PHX,FLG,119,6,17,11,2007,61,60,17,18,6,25,0,0,0,17,0
UA,86,LAX,MCO,2217,7,30,9,2007,285,306,18,-3,6,33,0,0,18,0,0
US,743,PHL,MIA,1013,3,28,5,2008,181,203,16,-6,9,44,0,0,16,0,0
EV,4760,ATL,CLE,554,5,30,11,2007,109,106,21,24,5,22,0,0,21,0,0
UA,1234,ORD,BDL,783,5,26,12,2008,127,126,52,53,7,26,7,0,0,0,45
DL,1573,JAX,ATL,270,6,30,6,2007,73,168,150,55,108,15,55,0,95,0,0
DL,530,SLC,ATL,1589,1,22,10,2007,220,244,25,1,29,13,0,0,25,0,0
AS,60,KTN,SEA,680,2,30,12,2008,115,120,91,86,6,23,0,0,5,0,86
DL,446,JAX,ATL,270,2,17,7,2007,68,69,94,93,15,14,0,0,1,0,93
OH,5411,BOS,BWI,370,3,13,6,2007,99,103,39,35,5,21,0,0,4,0,35
UA,831,ORD,SFO,1846,6,19,5,2007,264,283,19,0,5,19,0,0,19,0,0
OO,5967,ORD,HDN,1009,7,2,3,2008,170,177,17,10,4,16,17,0,0,0,0
WN,289,MCI,PHX,1044,7,17,2,2008,175,171,139,143,7,20,122,0,0,0,17
UA,943,ORD,LAX,1745,4,4,5,2006,258,272,16,2,10,21,0,0,16,0,0
UA,597,DTW,ORD,235,2,12,12,2006,84,79,80,85,3,22,0,0,0,0,80
DL,1257,ATL,HSV,151,4,11,5,2006,54,58,29,25,6,21,16,0,4,0,9
XE,3344,EWR,CLT,529,4,6,5,2004,115,135,18,-2,4,57,0,0,18,0,0
XE,1208,DCA,EWR,199,4,2,11,2006,89,82,15,22,9,37,0,0,15,0,0
CO,664,CLE,IAH,1091,4,15,1,2004,185,207,24,2,13,49,0,0,24,0,0
UA,414,SLC,DEN,391,3,15,3,2006,81,131,49,-1,8,63,0,0,49,0,0
DL,1604,TUS,ATL,1541,3,16,7,2008,224,231,15,8,13,14,2,0,7,0,6
UA,563,ORD,PDX,1739,7,4,6,2006,249,239,93,103,3,9,0,0,0,0,93
WN,3207,CLE,MDW,307,3,25,6,2008,75,108,54,21,12,17,13,0,33,0,8
NW,144,MSP,ORD,334,4,31,7,2003,79,80,144,143,5,9,143,0,1,0,0
DL,2033,ATL,MOB,302,7,14,12,2003,75,65,49,59,4,16,49,0,0,0,0
OO,6801,CAK,ORD,344,3,11,4,2007,101,136,30,-5,4,56,0,0,30,0,0
NW,282,MEM,DTW,610,7,17,12,2006,113,120,16,9,8,21,9,0,7,0,0
OH,5016,TUL,CVG,646,3,2,1,2008,108,133,60,35,2,9,0,35,25,0,0
OO,5982,ORD,FWA,157,1,16,6,2008,55,48,128,135,4,18,128,0,0,0,0
CO,102,EWR,LAX,2454,5,21,12,2007,385,414,46,17,50,47,17,0,29,0,0
AA,1028,DEN,DFW,641,3,30,4,2008,115,121,25,19,9,22,0,0,6,0,19
OO,6847,ROA,ORD,531,1,24,5,2004,125,112,30,43,12,13,0,0,30,0,0
WN,2043,BDL,BWI,283,5,23,6,2006,65,62,78,81,2,9,66,0,0,0,12
WN,920,LAS,RNO,345,4,30,10,2003,75,75,90,90,5,10,0,0,7,0,83
DL,382,ATL,CMH,446,3,16,6,2004,90,138,75,27,3,69,0,0,48,0,27
WN,3119,LAS,PHX,256,7,14,12,2008,70,71,21,20,6,20,0,0,3,0,18
CO,1944,SJU,EWR,1608,7,20,7,2003,235,252,20,3,8,17,0,0,20,0,0
